region_id,geography_type,state_name,date,home_value
3,State,Alaska,2000-04-30,138985.38249158324
12,State,District of Columbia,2000-04-30,166051.42912031896
58,State,Vermont,2000-04-30,120454.88076852055
62,State,Wyoming,2000-04-30,
9,State,California,2000-05-31,196725.0351068525
54,State,Texas,2000-05-31,116167.33370455848
14,State,Florida,2000-05-31,111409.76215416264
43,State,New York,2000-05-31,157430.01083870002
47,State,Pennsylvania,2000-05-31,102981.27295963927
21,State,Illinois,2000-05-31,133871.47550853473
44,State,Ohio,2000-05-31,108533.25163559202
16,State,Georgia,2000-05-31,130553.57939214808
36,State,North Carolina,2000-05-31,133274.01271106105
30,State,Michigan,2000-05-31,121223.49645183772
40,State,New Jersey,2000-05-31,175542.21569341156
56,State,Virginia,2000-05-31,128968.35932769092
59,State,Washington,2000-05-31,181496.5777269505
8,State,Arizona,2000-05-31,139218.9498552749
26,State,Massachusetts,2000-05-31,205931.9343665697
53,State,Tennessee,2000-05-31,115473.47724105848
22,State,Indiana,2000-05-31,99129.2899760502
27,State,Maryland,2000-05-31,155325.61774059993
32,State,Missouri,2000-05-31,100656.93531551235
60,State,Wisconsin,2000-05-31,124958.5637596038
10,State,Colorado,2000-05-31,185385.8716238368
31,State,Minnesota,2000-05-31,131016.51549011284
51,State,South Carolina,2000-05-31,117884.32749243575
4,State,Alabama,2000-05-31,103508.59834943849
25,State,Louisiana,2000-05-31,113076.31793852238
24,State,Kentucky,2000-05-31,92561.02256206507
46,State,Oregon,2000-05-31,156461.84223812577
45,State,Oklahoma,2000-05-31,85910.7179858954
11,State,Connecticut,2000-05-31,169731.7411187409
55,State,Utah,2000-05-31,173611.871792583
19,State,Iowa,2000-05-31,94551.16699743332
42,State,Nevada,2000-05-31,159548.90828782675
6,State,Arkansas,2000-05-31,91137.12861987542
34,State,Mississippi,2000-05-31,91719.55752548824
23,State,Kansas,2000-05-31,91936.53365409467
41,State,New Mexico,2000-05-31,
38,State,Nebraska,2000-05-31,119272.13413669176
20,State,Idaho,2000-05-31,127449.8235950772
61,State,West Virginia,2000-05-31,75254.90566363522
18,State,Hawaii,2000-05-31,196963.32294447557
39,State,New Hampshire,2000-05-31,140202.10749344397
28,State,Maine,2000-05-31,112416.8028312071
50,State,Rhode Island,2000-05-31,139822.75007728065
35,State,Montana,2000-05-31,
13,State,Delaware,2000-05-31,153473.19327844042
52,State,South Dakota,2000-05-31,109132.29942580638
37,State,North Dakota,2000-05-31,
3,State,Alaska,2000-05-31,139262.93647551164
12,State,District of Columbia,2000-05-31,167853.09019571837
58,State,Vermont,2000-05-31,121164.9293906307
62,State,Wyoming,2000-05-31,
9,State,California,2000-06-30,199086.79250114365
54,State,Texas,2000-06-30,116277.35196511156
14,State,Florida,2000-06-30,112053.82212996652
43,State,New York,2000-06-30,158700.57578794906
47,State,Pennsylvania,2000-06-30,103421.12796941878
21,State,Illinois,2000-06-30,134590.73716265886
44,State,Ohio,2000-06-30,109088.14772297682
16,State,Georgia,2000-06-30,131381.67828288136
36,State,North Carolina,2000-06-30,133805.4027048111
30,State,Michigan,2000-06-30,122002.4066399206
